date,year,month,fiscal_year,total,naics_sector
2018-12-31,2018,12,2019,320231.56530394044,Business Support Services **1
2019-01-31,2019,1,2019,436505.88187121414,Business Support Services **1
2019-02-28,2019,2,2019,113843.24301260235,Business Support Services **1
2019-03-31,2019,3,2019,1213498.2024628082,Business Support Services **1
2019-04-30,2019,4,2019,7570589.352005244,Business Support Services **1
2019-05-31,2019,5,2019,1270186.6417819606,Business Support Services **1
2019-07-31,2019,7,2020,166142.43853149543,Business Support Services **1
2019-08-31,2019,8,2020,112681.0613358934,Business Support Services **1
2019-09-30,2019,9,2020,393138.70220266795,Business Support Services **1
2019-10-31,2019,10,2020,364437.7222152108,Business Support Services **1
2019-11-30,2019,11,2020,72573.49434229726,Business Support Services **1
2019-12-31,2019,12,2020,343180.5314158917,Business Support Services **1
2020-01-31,2020,1,2020,314718.0557353524,Business Support Services **1
2020-02-29,2020,2,2020,186986.91188439872,Business Support Services **1
2020-03-31,2020,3,2020,1066806.0083541267,Business Support Services **1
2020-04-30,2020,4,2020,6289372.292888673,Business Support Services **1
2020-05-31,2020,5,2020,2285535.908540013,Business Support Services **1
2020-06-30,2020,6,2020,108426.90673040814,Business Support Services **1
2020-07-31,2020,7,2021,75842.72256681848,Business Support Services **1
2020-08-31,2020,8,2021,122293.10936750895,Business Support Services **1
2020-09-30,2020,9,2021,363782.638782814,Business Support Services **1
2020-10-31,2020,10,2021,390093.9869250726,Business Support Services **1
2020-11-30,2020,11,2021,64510.51806168134,Business Support Services **1
2020-12-31,2020,12,2021,225615.60716449263,Business Support Services **1
2021-01-31,2021,1,2021,628377.241988442,Business Support Services **1
2021-02-28,2021,2,2021,163956.91988603162,Business Support Services **1
2021-03-31,2021,3,2021,1131505.4642519108,Business Support Services **1
2021-04-30,2021,4,2021,6828871.904299546,Business Support Services **1
2021-05-31,2021,5,2021,1996808.8011945742,Business Support Services **1
2021-06-30,2021,6,2021,220264.93112988817,Business Support Services **1
2021-07-31,2021,7,2022,111658.99854795024,Business Support Services **1
2021-08-31,2021,8,2022,124321.2562152776,Business Support Services **1
2021-09-30,2021,9,2022,390235.5535995398,Business Support Services **1
2021-10-31,2021,10,2022,397552.2294995317,Business Support Services **1
2021-11-30,2021,11,2022,69944.3029245114,Business Support Services **1
2021-12-31,2021,12,2022,277984.81333431246,Business Support Services **1
2022-01-31,2022,1,2022,541541.6722770784,Business Support Services **1
2022-02-28,2022,2,2022,139302.50946897015,Business Support Services **1
2022-03-31,2022,3,2022,1182247.4639665755,Business Support Services **1
2022-04-30,2022,4,2022,7260322.301497862,Business Support Services **1
2022-05-31,2022,5,2022,1650057.2884876921,Business Support Services **1
2022-06-30,2022,6,2022,339447.4289688925,Business Support Services **1
2022-07-31,2022,7,2023,148743.0283982673,Business Support Services **1
2022-08-31,2022,8,2023,125557.01615309277,Business Support Services **1
2022-09-30,2022,9,2023,415105.0469813173,Business Support Services **1
2022-10-31,2022,10,2023,402401.182867597,Business Support Services **1
2022-11-30,2022,11,2023,75235.10163266737,Business Support Services **1
2022-12-31,2022,12,2023,329206.82345727866,Business Support Services **1
2023-01-31,2023,1,2023,446859.9130426092,Business Support Services **1
2023-02-28,2023,2,2023,116110.50525448535,Business Support Services **1
2023-03-31,2023,3,2023,1232665.598725615,Business Support Services **1
2023-04-30,2023,4,2023,7660652.123075378,Business Support Services **1
2023-05-31,2023,5,2023,1280292.7733007614,Business Support Services **1
2023-06-30,2023,6,2023,466132.3975441089,Business Support Services **1
2023-07-31,2023,7,2024,185765.77755433857,Business Support Services **1
2023-08-31,2023,8,2024,125525.38073887405,Business Support Services **1
2023-09-30,2023,9,2024,436416.2702002013,Business Support Services **1
2023-10-31,2023,10,2024,403115.5489264731,Business Support Services **1
2023-11-30,2023,11,2024,80003.90191796723,Business Support Services **1
2023-12-31,2023,12,2024,377015.83892781456,Business Support Services **1
2024-01-31,2024,1,2024,344578.5100779018,Business Support Services **1
2024-02-29,2024,2,2024,204091.49464392153,Business Support Services **1
2024-03-31,2024,3,2024,1160584.3264620388,Business Support Services **1
2024-04-30,2024,4,2024,6820947.606317636,Business Support Services **1
2024-05-31,2024,5,2024,2470867.120714827,Business Support Services **1
2024-06-30,2024,6,2024,116866.04441960147,Business Support Services **1
2024-07-31,2024,7,2025,80597.88401260255,Business Support Services **1
2024-08-31,2024,8,2025,129569.07871323879,Business Support Services **1
2024-09-30,2024,9,2025,384320.3253936381,Business Support Services **1
2024-10-31,2024,10,2025,410914.3310660628,Business Support Services **1
2024-11-30,2024,11,2025,67764.663943311,Business Support Services **1
2024-12-31,2024,12,2025,236326.06387928856,Business Support Services **1
2025-01-31,2025,1,2025,656374.6756522846,Business Support Services **1
2025-02-28,2025,2,2025,170837.53966874816,Business Support Services **1
2025-03-31,2025,3,2025,1175802.40040091,Business Support Services **1
2025-04-30,2025,4,2025,7077921.797302444,Business Support Services **1
2025-05-31,2025,5,2025,2064202.1899603347,Business Support Services **1
2025-06-30,2025,6,2025,227129.3017941073,Business Support Services **1
2013-07-31,2013,7,2014,184688.19461873217,Construction
2013-08-31,2013,8,2014,192992.5402679226,Construction
2013-09-30,2013,9,2014,624414.1229492625,Construction
2013-10-31,2013,10,2014,655932.7417161078,Construction
2013-12-31,2013,12,2014,474602.76258396433,Construction
2014-01-31,2014,1,2014,974012.1110146411,Construction
2014-02-28,2014,2,2014,224319.04161709925,Construction
2014-03-31,2014,3,2014,1867182.6861876592,Construction
2014-04-30,2014,4,2014,12694948.784813577,Construction
2014-05-31,2014,5,2014,2610810.0317166112,Construction
2014-06-30,2014,6,2014,540595.4915857364,Construction
2014-07-31,2014,7,2015,266132.20400035795,Construction
2014-08-31,2014,8,2015,227306.78429353202,Construction
2014-09-30,2014,9,2015,717961.0884755026,Construction
2014-10-31,2014,10,2015,715739.8602294476,Construction
2014-11-30,2014,11,2015,128328.92956469054,Construction
2014-12-31,2014,12,2015,601442.0469906649,Construction
2015-01-31,2015,1,2015,835915.7242385305,Construction
2015-02-28,2015,2,2015,238245.22455434233,Construction
2015-03-31,2015,3,2015,2248132.682806701,Construction
2015-04-30,2015,4,2015,14687838.403463263,Construction
2015-05-31,2015,5,2015,2107031.602508879,Construction
